HANSEN Adam,LOTTO SOUDAL
ROELANDTS Jurgen,LOTTO SOUDAL
SIEBERG Marcel,LOTTO SOUDAL
WELLENS Tim,LOTTO SOUDAL
MATTHEWS Michael,TEAM SUNWEB
ARNDT Nikias,TEAM SUNWEB
BARGUIL WARREN,TEAM SUNWEB
CURVERS Roy,TEAM SUNWEB
GESCHKE Simon,TEAM SUNWEB
SINKELDAM Ramon,TEAM SUNWEB
TEN DAM Laurens,TEAM SUNWEB
TEUNISSEN Mike,TEAM SUNWEB
TIMMER Albert,TEAM SUNWEB
BOUHANNI Nacer,COFIDIS
CLAEYS Dimitri,COFIDIS
EDET Nicolas,COFIDIS
LAPORTE Christophe,COFIDIS
LEMOINE Cyril,COFIDIS
MATE MARDONES Luis Angel,COFIDIS
NAVARRO Daniel,COFIDIS
SENECHAL Florian,COFIDIS
SIMON Julien,COFIDIS
GESINK Robert,TEAM LOTTO NL - JUMBO
BENNETT George,TEAM LOTTO NL - JUMBO
GROENEWEGEN Dylan,TEAM LOTTO NL - JUMBO
LEEZER Tom,TEAM LOTTO NL - JUMBO
MARTENS Paul,TEAM LOTTO NL - JUMBO
ROGLIC Primoz,TEAM LOTTO NL - JUMBO
ROOSEN Timo,TEAM LOTTO NL - JUMBO
VAN EMDEN Jos,TEAM LOTTO NL - JUMBO
WAGNER Robert,TEAM LOTTO NL - JUMBO
VOECKLER Thomas,DIRECT ENERGIE
BOUDAT Thomas,DIRECT ENERGIE
CALMEJANE Lilian,DIRECT ENERGIE
CHAVANEL Sylvain,DIRECT ENERGIE
GENE Yohann,DIRECT ENERGIE
PETIT Adrien,DIRECT ENERGIE
QUEMENEUR Perrig,DIRECT ENERGIE
SICARD Romain,DIRECT ENERGIE
TULIK ANGELO,DIRECT ENERGIE
ROLLAND Pierre,CANNONDALE DRAPAC
BETTIOL Alberto,CANNONDALE DRAPAC
BEVIN Patrick,CANNONDALE DRAPAC
BROWN Nathan,CANNONDALE DRAPAC
CLARKE Simon,CANNONDALE DRAPAC
PHINNEY Taylor,CANNONDALE DRAPAC
TALANSKY Andrew,CANNONDALE DRAPAC
URAN Rigoberto,CANNONDALE DRAPAC
VAN BAARLE Dylan,CANNONDALE DRAPAC
IZAGUIRRE Ion,BAHRAIN - MERIDA
ARASHIRO Yukiya,BAHRAIN - MERIDA
BOLE Grega,BAHRAIN - MERIDA
BOZIC Borut,BAHRAIN - MERIDA
BRAJKOVIC Janez,BAHRAIN - MERIDA
CINK Ondrej,BAHRAIN - MERIDA
COLBRELLI Sonny,BAHRAIN - MERIDA
GRMAY Tsgabu Gebremaryam,BAHRAIN - MERIDA
MORENO BAZAN Javier,BAHRAIN - MERIDA
MARTIN Guillaume,WANTY
BACKAERT Frederik,WANTY
DEGAND Thomas,WANTY
MINNAARD Marco,WANTY
OFFREDO Yoann,WANTY
PASQUALON Andrea,WANTY
SMITH Dion,WANTY
VAN KEIRSBULCK Guillaume,WANTY
VANSPEYBROUCK Pieter,WANTY
MC LAY DANIEL,TEAM FORTUNEO - OSCARO
BOUET Maxime,TEAM FORTUNEO - OSCARO
FEILLU Brice,TEAM FORTUNEO - OSCARO
GESBERT Elie,TEAM FORTUNEO - OSCARO
HARDY Romain,TEAM FORTUNEO - OSCARO
PERICHON Pierre-Luc,TEAM FORTUNEO - OSCARO
PICHON Laurent,TEAM FORTUNEO - OSCARO
SEPULVEDA Eduardo,TEAM FORTUNEO - OSCARO
VACHON Florian,TEAM FORTUNEO - OSCARO
