date,race,rider,rank,team
19-02-2017, 2017   »   GP Laguna Porec (1.2),Thomas_Umhaller,76,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Gerd_Fidler,77,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Angelo_Vitiello,78,d_Amico_Utensilnord_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Gorazd_Per,79,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),David_Jabuka,80,Meridiana_Kamen_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Tilen_Finkst,81,ROG_Ljubljana_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Janos_Pelikan,82,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Matic_Groselj,84,ROG_Ljubljana_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Simone_Bernardini,85,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Georg_Zimmermann,89,Team_Felbermayr_-_Simplon_Wels__2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Andreas_Umhaller,91,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Maximilian_Kuen,92,Tirol_Cycling_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Jodok_Salzmann,93,WSA-Greenlife_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Mateo_Frankovic,94,Meridiana_Kamen_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Oleksandr_Golovash,96,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Siarhei_Papok,97,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Aleh_Ahiyevich,98,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Kanstantsin_Klimiankou,99,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Dominik_Hrinkow,102,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Alexander_Wachter,105,Tirol_Cycling_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Patrick_Bosman,106,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Andreas_Walzel,107,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Florian_Gaugl,108,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Mattia_De_Marchi,109,Team_Hrinkow_Advarics_Cycleang_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),nbcoureurs,84,all
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Alejandro_Valverde,1,Movistar_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jhonatan_Restrepo,2,Team_Katusha_Alpecin_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Patrick_Konrad,3,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jurgen_Roelandts,4,Lotto_Soudal_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Baptiste_Planckaert,5,Team_Katusha_Alpecin_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Ion_Izagirre,6,Bahrain_Merida_Pro_Cycling_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Christopher_Juul_jensen,7,ORICA_Scott_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Tiesj_Benoot,8,Lotto_Soudal_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Pieter_Weening,9,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Emanuel_Buchmann,10,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Felix_Grossschartner,11,CCC_Sprandi_Polkowice_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Romain_Sicard,12,Direct_Energie_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Silvio_Herklotz,13,Bora_Hansgrohe_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Marc_Soler,14,Movistar_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Garikoitz_Bravo,15,Euskadi_Basque_Country_-_Murias__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Javier_Moreno,16,Bahrain_Merida_Pro_Cycling_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),David_Belda,17,Burgos-BH__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Hector_Saez,18,Caja_Rural_Seguros_RGA_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Daniel_Navarro,19,"Cofidis,_Solutions_Credits_2017"
